city_id,City,State
270,Noida,Uttar Pradesh
271,Aligarh,Uttar Pradesh
272,Agra,Uttar Pradesh
273,Moradabad,Uttar Pradesh
274,Bareily,Uttar Pradesh
275,Etawah,Uttar Pradesh
276,Jhansi,Uttar Pradesh
277,Lucknow,Uttar Pradesh
278,Kanpur,Uttar Pradesh
279,Prayagraj,Uttar Pradesh
280,Varanasi,Uttar Pradesh
281,Ayodhya,Uttar Pradesh
282,Basti,Uttar Pradesh
283,Gorakhpur,Uttar Pradesh
284,Faridabad,Haryana
285,Gurugram,Haryana
286,Panipat,Haryana
287,Ambala,Haryana
288,Yamunagar,Haryana
289,Rohtak,Haryana
290,Sonipat,Haryana
291,Bhiwani,Haryana
292,Ludhiana,Punjab
293,Amritsar,Punjab
294,Jalandhar,Punjab
295,Patiala,Punjab
296,Bathinda,Punjab
297,Mohali,Punjab
298,Batala,Punjab
299,Pathankot,Punjab
300,Firozpur,Punjab
301,Malerkotla,Punjab
302,Khanna,Punjab
303,Muktsar,Punjab
304,Sunam,Punjab
305,Srinagar,Jammu And Kashmir
306,Jammu,Jammu And Kashmir
307,Anantnag,Jammu And Kashmir
308,Shimla,Himachal Pradesh
309,Dharamshala,Himachal Pradesh
310,Solan,Himachal Pradesh
311,Palampur,Himachal Pradesh
312,Sundarnagar,Himachal Pradesh
313,Kullu,Himachal Pradesh
314,Manali,Himachal Pradesh
315,Dalhousie,Himachal Pradesh
316,Rohru,Himachal Pradesh
317,Jawalamukhi,Himachal Pradesh
318,Indora,Himachal Pradesh
319,Kasauli,Himachal Pradesh
320,Naina Devi,Himachal Pradesh
321,Kotkhai,Himachal Pradesh
322,Narkanda,Himachal Pradesh
323,Sarkaghat,Himachal Pradesh
324,Una,Himachal Pradesh
325,Dehradun,Uttarakhand
326,Haridwar,Uttarakhand
327,Roorke,Uttarakhand
328,Rishikesh,Uttarakhand
329,Kashipur,Uttarakhand
330,Hadwani,Uttarakhand
331,Rudrapur,Uttarakhand
332,Gangtok,Sikkim
333,Namchi,Sikkim
334,Udalguri,Assam
335,Karimganj,Assam
336,Cachar,Assam
337,Kampur,Assam
338,Dhubri,Assam
339,Sivasagar,Assam
340,Guwahati,Assam
341,Silchar,Assam
342,Jorhat,Assam
343,Papum Pare,Arunachal Pradesh
344,Changlang,Arunachal Pradesh
345,Lohit,Arunachal Pradesh
346,West Siang,Arunachal Pradesh
347,Tirap,Arunachal Pradesh
348,East Siang,Arunachal Pradesh
349,Kuma Kurg,Arunachal Pradesh
